                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2503,                 2.1634,                 1.1852,                0.54573,                0.64744,                0.53276,                0.21014,                 1.7795,                 1.3441,                 1.0366,             0.00066631,             0.00066631,             0.00066631
                      2,                 1.8584,                 1.3134,                  1.043,                0.60383,                0.68948,                0.63078,                0.26627,                 1.6346,                 1.2357,                0.99683,               0.001289,               0.001289,               0.001289
                      3,                 1.7677,                 1.2243,                 1.0232,                0.73516,                0.71644,                0.73098,                0.32436,                 1.5627,                 1.1434,                0.98347,              0.0018677,              0.0018677,              0.0018677
                      4,                 1.7003,                 1.1774,                 1.0014,                 0.7604,                0.76639,                0.76915,                0.35364,                  1.482,                 1.0786,                 0.9652,               0.001802,               0.001802,               0.001802
                      5,                   1.66,                 1.1304,                0.99027,                0.78497,                0.77808,                0.75965,                0.34667,                  1.536,                 1.0856,                0.96123,               0.001802,               0.001802,               0.001802
                      6,                 1.6199,                 1.1005,                0.97401,                0.79069,                 0.7981,                0.77177,                0.35674,                 1.4619,                 1.0655,                 0.9549,               0.001736,               0.001736,               0.001736
                      7,                 1.5694,                 1.0663,                0.96532,                0.83505,                 0.8187,                0.86128,                0.43286,                 1.4164,                0.99936,                0.94106,                0.00167,                0.00167,                0.00167
                      8,                 1.5479,                 1.0363,                0.95764,                0.85563,                0.87838,                0.89954,                 0.4735,                  1.335,                0.94732,                0.92665,               0.001604,               0.001604,               0.001604
                      9,                 1.5143,                 1.0164,                0.95417,                0.85986,                 0.8448,                0.88308,                0.46349,                 1.3542,                  0.955,                0.93208,               0.001538,               0.001538,               0.001538
                     10,                 1.4818,                0.98368,                0.94682,                0.82404,                0.81563,                0.83816,                0.41707,                 1.4686,                0.99925,                0.94948,               0.001472,               0.001472,               0.001472
                     11,                  1.468,                0.97728,                0.94172,                0.84314,                0.84213,                0.84626,                  0.402,                 1.4073,                0.97154,                0.93245,               0.001406,               0.001406,               0.001406
                     12,                 1.4415,                0.94666,                0.93359,                0.87024,                0.87399,                0.89893,                0.48337,                 1.3926,                0.92923,                0.93464,                0.00134,                0.00134,                0.00134
                     13,                 1.4219,                0.91972,                0.92975,                0.85946,                 0.8485,                0.89171,                0.46925,                 1.4012,                0.94689,                0.93375,               0.001274,               0.001274,               0.001274
                     14,                 1.4023,                0.90494,                0.92742,                0.88916,                0.86294,                0.90846,                 0.5087,                 1.3477,                0.87652,                0.92057,               0.001208,               0.001208,               0.001208
                     15,                 1.3749,                0.88142,                0.92232,                0.92413,                0.92976,                 0.9384,                0.55541,                 1.2069,                0.79513,                0.89998,               0.001142,               0.001142,               0.001142
                     16,                 1.3575,                0.86296,                 0.9199,                0.93177,                0.91548,                0.94587,                0.56087,                 1.2423,                0.81029,                0.90418,               0.001076,               0.001076,               0.001076
                     17,                 1.3356,                0.83879,                0.91487,                 0.9335,                0.92785,                0.95254,                0.55316,                 1.2363,                0.78346,                0.90074,                0.00101,                0.00101,                0.00101
                     18,                 1.3214,                0.82411,                0.91551,                0.91485,                0.89831,                0.93322,                  0.539,                 1.3039,                0.80955,                0.90998,               0.000944,               0.000944,               0.000944
                     19,                 1.3035,                0.80521,                0.90957,                0.90616,                0.87664,                0.92793,                0.52964,                 1.3319,                 0.8352,                0.91364,               0.000878,               0.000878,               0.000878
                     20,                 1.2771,                 0.7885,                0.90532,                0.93286,                0.91638,                0.95044,                0.57274,                 1.2375,                0.76406,                 0.8986,               0.000812,               0.000812,               0.000812
                     21,                 1.2252,                0.77922,                 0.9124,                0.94226,                0.92792,                0.95854,                0.58373,                 1.2389,                0.74305,                0.89903,               0.000746,               0.000746,               0.000746
                     22,                 1.1913,                0.73199,                0.90272,                0.95357,                0.94314,                0.96673,                0.61743,                  1.185,                0.67855,                0.89257,                0.00068,                0.00068,                0.00068
                     23,                 1.1606,                0.70543,                 0.8979,                0.94955,                0.94367,                0.96781,                0.60808,                  1.206,                0.68834,                0.89261,               0.000614,               0.000614,               0.000614
                     24,                  1.146,                0.68435,                0.89206,                0.96048,                0.95491,                0.97242,                0.63058,                 1.1665,                0.65089,                0.88524,               0.000548,               0.000548,               0.000548
                     25,                 1.1214,                0.66348,                0.88725,                0.95463,                0.95163,                0.96834,                0.62059,                 1.1866,                0.63909,                0.89486,               0.000482,               0.000482,               0.000482
                     26,                 1.1043,                0.63703,                0.88544,                 0.9502,                0.95424,                0.97058,                 0.6201,                 1.1989,                0.64039,                0.89463,               0.000416,               0.000416,               0.000416
                     27,                 1.0764,                0.61734,                0.88139,                0.95618,                0.95759,                0.97107,                0.61446,                  1.237,                0.62281,                0.90103,                0.00035,                0.00035,                0.00035
                     28,                 1.0575,                0.59479,                0.87827,                0.95607,                0.95785,                0.97412,                0.62719,                 1.1835,                0.60366,                0.89175,               0.000284,               0.000284,               0.000284
                     29,                 1.0361,                 0.5765,                0.87237,                0.96052,                0.96602,                0.97633,                 0.6441,                 1.1645,                0.58014,                0.88588,               0.000218,               0.000218,               0.000218
                     30,                 1.0208,                0.56589,                0.87052,                0.95471,                 0.9616,                0.97496,                0.63603,                 1.1938,                0.58509,                0.89155,               0.000152,               0.000152,               0.000152
